ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Role_Model_Type
12,17,Right-Handed,163,2,Car,6,Athletics,1000,1000,1000,1000,800,1000,24.4,Right foot,73,77,Ring finger,September,Fall,Science,7,10,3,Text messaging,30,45,10,3,8,3,12,1,10,2,5,10,A lot,Graduate degree,Fly,Healthy,Relative
12,17,Right-Handed,165,2,Bus,30,Baseball/Softball,1000,1000,1000,1000,1000,1000,22,Same length,95,66,Index finger,September,Spring,History,6,8,3,Text messaging,20,30,8,3,8,10,5,1,10,8,10,10,A lot,Other,Invisibility,Happy,Relative
12,18,Right-Handed,173,2,Rail (Train/Tram/Subway),27,Soccer,879,786,823,876,954,967,26,Same length,101,106,Ring finger,January,Winter,Computers and technology,5,8,4,Internet chat or instant messaging,100,200,5,1,2,2,4,20,5,5,20,0,Some,Graduate degree,Invisibility,Rich,Other
10,15,Right-Handed,167.6,2,Car,45,Basketball,90,80,80,90,90,100,24,Same length,67,69,Ring finger,October,Summer,Science,6,8,3,In person,0,0,0.2,0.2,3,2,0.5,2,0,0,1,1,A lot,Graduate degree,Fly,Happy,Doctor or nurse
12,17,Right-Handed,158,1,Walk,15,Cycling,1000,500,200,100,900,1000,22.5,Left foot,87,90,Ring finger,August,Summer,History,8,12,3,Text messaging,1,0,3,0,25,5,0,10,0,0,5,0,Some,Graduate degree,Telepathy,Happy,Relative
12,16,Right-Handed,173.7,1,Walk,17,Dancing,900,900,800,800,500,1000,24.4,Left foot,78.2,73.6,Index finger,August,Summer,Art,7,8,4,Cell phone,60,63,24,8,8,6,4,0,5,3,20,2,Some,Undergraduate degree,Invisibility,Happy,Musician or singer
12,17,Left-Handed,152,1,Car,10,Tennis,1000,1000,750,750,1000,1000,24,Left foot,70,60,Index finger,May,Summer,Science,7,8.5,3,Text messaging,30,40,10,1,7,10,12,2,4,1,15,10,Very little,High school,Freeze time,Rich,Doctor or nurse
10,15,Right-Handed,163,3,Car,45,Dancing,1000,1000,1000,1000,500,500,24,Same length,82,77,Index finger,November,Fall,History,5,8,4,Text messaging,200,200,14,21,21,6,0,0,28,20,20,0,A lot,Undergraduate degree,Freeze time,Happy,Musician or singer
12,18,Right-Handed,152.4,1,Car,2,Skateboarding/Rollerblading,1000,1000,1000,1000,1000,1000,20.5,Right foot,,,Index finger,March,Summer,English,6,8,4,In person,100,132,40,10,7,2,15,0,5,6,12,3,A lot,Graduate degree,Freeze time,Happy,Other
11,16,Right-Handed,155,3,Car,15,Athletics,800,800,700,700,700,800,22,Left foot,65,63,Index finger,October,Fall,Languages,7,8,3,Internet chat or instant messaging,150,150,3,1,12,5,0,0,5,7,15,4,A lot,Graduate degree,Freeze time,Healthy,Musician or singer
10,15,Right-Handed,176,2,Bus,15,Tennis,500,200,100,100,1000,1000,25.5,Same length,8.3,7,Index finger,August,Spring,History,8,8,2,"Myspace, Facebook, other social networking sites, or blog",100,150,50,30,2,20,1,1,100,100,50,50,Some,Graduate degree,Invisibility,Rich,Actor
12,17,Right-Handed,173,1,Car,10,Tennis,1000,1000,500,700,400,700,26,Left foot,,,Ring finger,March,Fall,Music,7,10,5,Text messaging,50,75,2,12,20,5,21,0,24,24,6,10,A lot,Graduate degree,Fly,Rich,Musician or singer
11,16,Right-Handed,156.5,3,Other,7,Other,980,950,990,750,375,200,21.5,Same length,8.7,9,Ring finger,September,Winter,Social studies,5.5,8,3,Text messaging,110,125,10,0.5,45,30,5,0,0.5,6,40,1,A lot,Graduate degree,Telepathy,Happy,Relative
12,21,Right-Handed,170,2,Car,18,Other,700,700,900,700,500,600,25,Same length,75,76,Ring finger,May,Fall,Mathematics and statistics,7,9,5,In person,35,50,6,1,6,65,30,12,20,10,20,2,Some,Graduate degree,Freeze time,Healthy,Relative
10,16,Right-Handed,172,1,Walk,25,None,1000,1000,1000,1000,1000,1000,23,Right foot,7,8,Index finger,September,Summer,Art,6,10,4,Text messaging,3,30,5,0,0,3,0,30,20,1,70,0,None,Some college,Freeze time,Rich,Other
12,20,Right-Handed,157,1,Car,22,Baseball/Softball,1000,1000,1000,1000,1000,1000,25,Left foot,76,63,Index finger,June,Spring,Computers and technology,6,10,8,Text messaging,50,50,3,1,16,15,0,10,20,1,35,2,A lot,Graduate degree,Fly,Happy,Relative
10,15,Right-Handed,173,2,Rail (Train/Tram/Subway),90,Tennis,890,890,900,1000,700,1000,27,Same length,70,85,Same length,August,Summer,Music,6,8,10,"Myspace, Facebook, other social networking sites, or blog",20,38,35,1,20,24,1,6,35,35,60,6,A lot,Graduate degree,Invisibility,Famous,Musician or singer
