ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level
12,17,Right-Handed,155,1,Car,15,April,Summer,Science,6,11,4,60,80,20,4,18,21,12,2,14,14,20,5,A lot,Graduate degree
12,17,Ambidextrous,181,2,Car,10,October,Fall,Physical education,9,9,5,65,82,2,1,7,8,4,3,14,7,2,5,A lot,Undergraduate degree
12,17,Right-Handed,160,3,Rail (Train/Tram/Subway),50,August,Fall,English,7,9,11,10,10,6,0,2,10,2,9,4,3,50,0,Some,Graduate degree
12,16,Right-Handed,182.9,3,Car,7,November,Summer,Languages,5,8,5,10,10,10,40,7,7,0,10,20,10,30,40,Some,Graduate degree
12,17,Right-Handed,167,2,Car,15,May,Fall,Social studies,5,,4,200,500,10,20,7,4,1,1,50,50,5,15,A lot,Undergraduate degree
12,17,Right-Handed,163,2,Rail (Train/Tram/Subway),60,December,Winter,English,6,10,5,15,15,2,0,5,4,0,0,5,3,6,0,Some,Graduate degree
9,14,Right-Handed,176,1,Rail (Train/Tram/Subway),30,August,Summer,History,8,12,5,75,275,35,5,5,50,45,5,5,10,5,5,Very little,Other
10,16,Right-Handed,160,3,Rail (Train/Tram/Subway),45,April,Winter,English,6,15,2,100,100,10,1,18,10,2,0,2,15,24,0,A lot,Other
12,16,Right-Handed,161,3,Rail (Train/Tram/Subway),30,September,Fall,Languages,6,10,3,100,90,15,1,24,15,0,0,15,20,20,8,A lot,Graduate degree
12,18,Right-Handed,190,4,Walk,54,August,Summer,Music,5,7,9,5,3,0,0,1,10,0,0,15,5,90,20,A lot,Graduate degree
12,17,Right-Handed,165,1,Car,7,June,Fall,Mathematics and statistics,5,9,4,20,25,9,,,,,,,,,,,
12,17,Right-Handed,175,1,Car,10,January,Summer,History,8,10,2,5,5,,,,,,,,,,,A lot,Graduate degree
9,14,Right-Handed,164,1,Rail (Train/Tram/Subway),30,,,,,,,,,,,,,,,,,,,,
10,16,Right-Handed,180,2,Rail (Train/Tram/Subway),65,March,Summer,Other,6,8,3,2,110,20,2,13,30,0,35,1,0,35,0,A lot,Graduate degree
12,17,Right-Handed,162,1,Rail (Train/Tram/Subway),75,August,Summer,Social studies,5,5,5,75,75,5,2,5,4,8,2,10,8,10,0,Some,Graduate degree
12,18,Left-Handed,173,1,Rail (Train/Tram/Subway),40,April,Fall,Science,8,10,6,50,49,12,5,8,9,12,3,8,8,9,1,Some,Graduate degree
12,17,Right-Handed,164,2,Rail (Train/Tram/Subway),60,December,Summer,Mathematics and statistics,8,8,8,1000,1000,1,6,1,1,0,0,6,6,6,0,Very little,Graduate degree
12,18,Right-Handed,168,1,Car,30,September,Fall,English,7,9,2,74,80,10,1,19,7,5,0,,,,,,
10,16,Right-Handed,170,2,Rail (Train/Tram/Subway),120,March,Fall,Mathematics and statistics,6,9,4,10,200,10,1,14,7,0,0,28,1,28,7,Very little,Graduate degree
12,18,Right-Handed,159,3,Rail (Train/Tram/Subway),40,May,Fall,English,6,10,4,60,50,12,3,17,6,4,9,8,4,28,12,A lot,Graduate degree
9,14,Right-Handed,155,1,Rail (Train/Tram/Subway),90,November,Winter,History,6,3,3,30,30,5,15,9,2,1,8,15,5,3,16,A lot,Some college
10,16,Ambidextrous,165,4,Other,30,February,Fall,,5,8,10,20,12,3,2,27,2,1,0,7,0,29,12,A lot,Graduate degree
10,15,Right-Handed,172,3,Rail (Train/Tram/Subway),50,August,Fall,Music,7,10,7,60,120,10,1,8,1,4,65,1,3.5,2,4,A lot,Graduate degree
12,17,Right-Handed,158,3,Rail (Train/Tram/Subway),30,September,Fall,Music,5,8,3,30,400,4,12,5,7,8,6,2,10,1,11,A lot,Other
12,18,Left-Handed,181,1,Bicycle,7,May,Summer,Geography,7,8,2,,,6,0,4,9,14,5,7,10,20,10,Some,Graduate degree
12,17,Right-Handed,160,2,Car,50,August,Winter,English,8,10,4,40,3937,10,1,0,40,6,8,6,6,10,5,Very little,Graduate degree
10,15,Right-Handed,162,3,Rail (Train/Tram/Subway),40,August,Spring,English,8,10,4,42,42,4,0.5,6,18,2,0.5,14,12,50,2,Some,Graduate degree
10,15,Right-Handed,169,2,Bus,20,November,Spring,Art,7.5,9,3,25,25,0,0,18,1,0,5,1,1,9,1,A lot,High school
10,15,Right-Handed,168,1,Bus,45,December,Summer,Art,7,9,4,45,63,20,13,9,10,10,0,25,15,15,9,A lot,Undergraduate degree
11,16,Right-Handed,155,3,Car,15,October,Fall,Languages,7,8,3,150,150,3,1,12,5,0,0,5,7,15,4,A lot,Graduate degree
12,17,Right-Handed,165,1,Car,3,January,Fall,History,6,12,4,300,300,41,15,10,30,20,0,40,40,10,5,A lot,Graduate degree
10,16,Right-Handed,157.5,2,Rail (Train/Tram/Subway),90,November,Spring,Science,5,12,4,200,200,2,2,0.5,1.5,0.1,0.5,2,1,5,1,Some,Graduate degree
12,17,Left-Handed,180.3,2,Rail (Train/Tram/Subway),30,September,Fall,Science,7,12,3,400,300,12,14,10,14,40,0,10,25,10,20,Some,Undergraduate degree
10,15,Left-Handed,165,3,Rail (Train/Tram/Subway),60,September,Spring,History,6,8,4,57,241,12,7,10,10,7,0,14,14,14,0,A lot,Graduate degree
12,17,Right-Handed,154.9,1,Car,7,August,Summer,Science,6,3,5,9,22,18,3,10,8,12,0,8,2,3,18,Some,Graduate degree
12,18,Right-Handed,165,1,Car,7,October,Summer,Science,7,8,5,10,10,,,,,,,,,,,Some,Graduate degree
10,16,Left-Handed,172,1,Bus,20,December,Fall,English,8,9,3,5,10,7,12,8,4,12,8,4,10,10,14,A lot,Undergraduate degree
11,17,Right-Handed,186.6,1,Car,11,April,Fall,Mathematics and statistics,6.5,9.5,6,10,30,3,0,10,5,10,2,3,1,20,2,Some,Graduate degree
12,17,Right-Handed,190,1,Car,5,November,Summer,Mathematics and statistics,7,7,4,10,10,10,1,10,10,12,4,5,3,10,5,Some,Graduate degree
9,15,Right-Handed,172.7,2,Rail (Train/Tram/Subway),40,April,Spring,Mathematics and statistics,8,10,4,25,20,6,0.1,1,rest ,1,3-Feb,0.5,0.5,1,1,Some,Graduate degree
12,17,Right-Handed,172,2,Rail (Train/Tram/Subway),45,July,Spring,History,7,10,8,a lot,a lot,6,3,0,0,0,0,2,6,2,1,Very little,High school
12,18,Right-Handed,190,2,Rail (Train/Tram/Subway),42,June,Spring,Science,8,9,5,76,76,2,2,2,2,2,2,2,2,2,2,Some,Graduate degree
12,17,Left-Handed,165,1,Car,4,May,Fall,Physical education,8,10,4,150,100,8,1,3,2,12,0,20,10,1,0,A lot,Some college
12,17,Right-Handed,170,1,Car,10,June,Fall,Science,8,10,5,250,200,12,5,20,30,15,15,15,10,15,4,Some,Graduate degree
12,17,Right-Handed,161,1,Rail (Train/Tram/Subway),15,July,Summer,Social studies,7,9,5,25,50,10,0,10,1,10,0,5,5,5,7,,
12,16,Right-Handed,169,2,Rail (Train/Tram/Subway),15,September,Spring,History,6,6,4,10,10,3,10,30,1,0,0,2,2,10,10,A lot,High school
12,17,Right-Handed,165.1,2,Rail (Train/Tram/Subway),65,February,Fall,Social studies,6,9,4,20,15,2,1,20,3,1,0,5,10,20,8,Some,Graduate degree
12,17,Right-Handed,182.8,2,Walk,15,January,Summer,Mathematics and statistics,7,9,2,4,10,10,10,21,10,6,14,20,3,30,0,A lot,Graduate degree
10,16,Right-Handed,163,3,Rail (Train/Tram/Subway),30,May,Fall,History,7,8,4,50,50,15,0,12,7,2,5,21,21,30,4,Some,Graduate degree
12,17,Right-Handed,177.8,1,Car,4,May,Fall,Physical education,7,8,4,5,5,6,,,,,,,,,,,
10,16,Right-Handed,172,1,Rail (Train/Tram/Subway),60,November,Spring,Music,7,11,3,20,301,16,1,18,5,1,0,35,14,56,63,A lot,Other
12,17,Right-Handed,151,2,Rail (Train/Tram/Subway),30,August,Fall,Art,7,10,5,50,50,2,0,2,1,0,2,3,1,2,0,Some,Graduate degree
12,17,Right-Handed,175,2,Rail (Train/Tram/Subway),30,April,Summer,Physical education,8,8,4,15,25,20,2,10,5,15,8,15,3,4,2,Some,Graduate degree
12,17,Right-Handed,164,1,Car,10,May,Fall,Mathematics and statistics,8,10,4,50,50,3,0,20,10,2,0,15,5,0,6,A lot,Undergraduate degree
12,17,Right-Handed,155,1,Car,10,February,Summer,Science,8,9,3,15,17,42,1,14,35,10,6,28,21,14,2,A lot,Graduate degree
12,18,Right-Handed,160,1,Car,20,April,Fall,Science,7,10,4,65,72,16,4,14,10,5,0,24,6,5,4,Some,Graduate degree
12,18,Right-Handed,187,2,Boat,35,May,Winter,Physical education,7,3,3,57,65,12,2,0,5,10,24,2,24,24,0,None,Graduate degree
12,18,Right-Handed,177.8,1,Bus,12,April,Summer,History,8,11,6,123,138,40,16,2,15,30,1,24,16,140,5,Very little,Graduate degree
12,16,Right-Handed,177,2,Rail (Train/Tram/Subway),30,May,Fall,English,7,12,4,50,25,45,1,10,4,,,,,,,,
10,16,Right-Handed,170,1,Rail (Train/Tram/Subway),45,April,Spring,Social studies,5,6,4,5,4,5,3,12,2,2,1,14,2,10,5,Some,Graduate degree
12,16,Right-Handed,158.9,2,Walk,5,October,Summer,English,7,10,5,50,50,30,15,30,30,17,0,8,10,10,7,Very little,Some college
12,17,Right-Handed,169,2,Bus,20,June,Fall,Science,5,9,4,12,11,5,1,20,1,0.5,5,20,1,25,0,A lot,Graduate degree
10,15,Right-Handed,162,3,Rail (Train/Tram/Subway),40,August,Spring,English,8,10,4,42,42,4,0.5,6,18,2,0.5,14,12,50,2,Some,Graduate degree
10,15,Right-Handed,175,3,Rail (Train/Tram/Subway),30,October,Winter,Other,6,11,7,0,3,4,0,5,0,0,6,0.5,0,5,2,A lot,Graduate degree
12,16,Right-Handed,163,2,Rail (Train/Tram/Subway),30,October,Winter,History,5,8,5,20,19,30,1,21,56,2,0,10,1,84,21,Some,Graduate degree
10,16,Right-Handed,157,2,Rail (Train/Tram/Subway),80,,,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,176,2,Bus,15,,,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,178,6,Car,45,December,Fall,Languages,3,5,4,40,100,3,0,4,10,6,2,10,5,5,1,Very little,Graduate degree
12,18,Right-Handed,193.4,1,Car,15,November,Winter,Music,6,5,3,85,100,15,2,3,5,2,1,3,4,5,5,A lot,Graduate degree
12,16,Ambidextrous,175,2,Rail (Train/Tram/Subway),40,May,Summer,Physical education,5,7,5,100,100,15,3,2,3,20,8,10,8,12,6,Some,Undergraduate degree
10,16,Right-Handed,165,2,Bus,45,April,Fall,Art,7,11,5,0,0,9,3,10,3,3,0,30,20,84,25,A lot,Graduate degree
10,16,Right-Handed,175,1,Rail (Train/Tram/Subway),70,May,Spring,Computers and technology,5,10,4,10,20,1,1,7,10,2,30,7,2,50,0,Some,Undergraduate degree
12,18,Right-Handed,154.5,3,Rail (Train/Tram/Subway),40,May,Fall,Mathematics and statistics,4,8,6,1,6,4,0.5,8,7,1,0,10,3,12,0,A lot,Graduate degree
11,17,Right-Handed,156,2,Bus,30,July,Fall,Computers and technology,7,8,4,0,0,2,1,10,1,0,60,60,0,60,0,Some,Graduate degree
9,15,Right-Handed,172,1,Rail (Train/Tram/Subway),20,April,Summer,Mathematics and statistics,7,4,4,7,30,1,3,1,1,0,0,3,1,4,2,A lot,Graduate degree
12,16,Right-Handed,165.1,1,Bus,75,May,Summer,Mathematics and statistics,5,8,4,7,9,5,100,0,6,2,5,20,6,8,2,Very little,
11,16,Right-Handed,155,3,Car,15,October,Fall,Languages,7,8,3,150,150,3,1,12,5,0,0,5,7,15,4,A lot,Graduate degree
12,17,Right-Handed,152,1,Rail (Train/Tram/Subway),40,August,Winter,Computers and technology,7,9,3,25,29,15,3,6,10,4,1,13,4,9,12,A lot,Graduate degree
12,17,Right-Handed,167,1,Rail (Train/Tram/Subway),32,June,Fall,History,7,12,4,7,29,35,1,20,10,10,0,15,5,35,5,Some,Graduate degree
12,16,Right-Handed,164,1,Car,5,November,Summer,Art,6,8,2,100,100,1,12,18,4,20,0,4,50,4,0,A lot,Undergraduate degree
12,17,Right-Handed,162.5,1,Car,5,September,Summer,English,7.5,9,5,140,200,10,15,10,7,0,14,30,80,60,5,A lot,Graduate degree
10,15,Right-Handed,175,3,Rail (Train/Tram/Subway),65,June,Summer,History,7,10,6,400,50,40,24,2,18,16,2,60,45,56,4,A lot,Graduate degree
9,15,Right-Handed,149,1,Rail (Train/Tram/Subway),60,February,Summer,Physical education,7,14,4,95,100,56,20,1,4,0,0,43,20,63,1,A lot,Graduate degree
12,17,Right-Handed,171,1,Rail (Train/Tram/Subway),25,July,Fall,English,7,5,8,50,50,50,50,50,50,25,3,50,50,4,20,Some,Other
10,15,Right-Handed,170,2,Bus,45,August,Fall,Science,5,9,4,100,200,6,12,12,10,2,20,10,25,25,0,Some,Graduate degree
10,15,Right-Handed,174,3,Car,45,August,Summer,English,6,11,4,100+,100+,26,0.5,28-30,37.5,3.5,9.5,38.5,7,100,3.5,A lot,Other
12,16,Ambidextrous,160,3,Car,10,,,,,,,,,,,,,,,,,,,,
12,18,Right-Handed,179,2,Rail (Train/Tram/Subway),15,December,Winter,History,7,9,3,100,100,13,14,2,5,0,1,20,18,20,3,Some,Graduate degree
11,16,Right-Handed,169,3,Bus,30,February,Fall,Other,7,8,3,25,25,3,1,15,6,5,0,0,5,17,0,Some,Graduate degree
12,17,Right-Handed,165,2,Rail (Train/Tram/Subway),45,December,Fall,Mathematics and statistics,6,9,4,50,80,7,1,5,16,2,5,12,18,85,2,A lot,Undergraduate degree
10,15,Right-Handed,198.1,1,Rail (Train/Tram/Subway),35,July,Summer,Physical education,7.5,10,3,3,10,,,,,,,,,,,,
10,15,Ambidextrous,173.5,1,Skateboard/Scooter/Rollerblade,45,December,Winter,Other,8,1,3,4,8,10,0,1,1,0,12,0,1,2,3,Very little,Graduate degree
12,18,Right-Handed,176,2,Rail (Train/Tram/Subway),40,March,Fall,Mathematics and statistics,5,10,7,100,20,2,1,3,2,1,20,3,2,20,10,Very little,Graduate degree
12,16,Ambidextrous,160,3,Car,10,November,Fall,Physical education,4,8,5,90,110,1,20,44,3,14,2,4,3,50,0,A lot,Graduate degree
12,15,Right-Handed,176,2,Bus,10,November,Summer,Science,5,5,2,40,70,10,2,7,6,6,6,8,5,7,1,A lot,Graduate degree
12,17,Left-Handed,177.8,1,Car,8,March,Summer,Science,8,9,4,30,30,8,0.5,14,10,14,0,27,30,0.5,10,A lot,Graduate degree
12,17,Right-Handed,170,2,Rail (Train/Tram/Subway),45,November,Summer,Physical education,7,12,4,60,75,8,1,0,3,3,2,2,4,24,0,A lot,Graduate degree
12,16,Right-Handed,155,1,Car,10,November,Fall,Science,10,12,4,16,12,3,,,,,,,,,,,
12,17,Right-Handed,178,3,Rail (Train/Tram/Subway),25,March,Fall,Computers and technology,6,10,3,27,30,6,1,10,2,7,6,2,1,10,2,A lot,Graduate degree
12,17,Right-Handed,161.5,1,Car,4,January,Fall,Other,8,12,3,20,30,5,8,4,12,0,0,10,10,12,30,Some,Other
10,15,Right-Handed,178,2,Car,35,October,Summer,Physical education,,8,4,20,1000,20,0.2,5,40,15,10,21,10,5,2,A lot,Graduate degree
12,17,Right-Handed,155,1,Walk,10,May,Fall,Science,6,10,7,100,200,10,2,10,15,2,2,15,2,4,4,A lot,Other
12,17,Left-Handed,183,3,Bus,65,September,Spring,English,5,10,7,4,3,3,1,2,1,2,1,8,1,0,20,Some,Graduate degree
10,16,Right-Handed,164,1,Car,20,April,Spring,English,7,10,3,10,10,40,25,10,6,7,0,5,3,10,10,A lot,Graduate degree
12,17,Right-Handed,164,1,Car,17,April,Fall,Art,8,9,3,19,26,5,0,15,7.5,15,0,10,1,12,5,A lot,Graduate degree
12,17,Right-Handed,157,2,Rail (Train/Tram/Subway),40,June,Summer,Science,7,10,5,5,10,1,0.5,8,0.5,0,0.5,3,3,10,0.5,Some,Graduate degree
12,17,Right-Handed,162,3,Bus,12,,,,,,,,,,,,,,,,,,,,
10,17,Left-Handed,152,1,Rail (Train/Tram/Subway),35,February,Spring,Physical education,10,11,4,30,30,5,1hr,3hr,7hr,0,10,14,2,3,8,A lot,Undergraduate degree
12,19,Right-Handed,157,2,Rail (Train/Tram/Subway),20,January,Summer,Science,8,9,5,5,20,3,2,6,12,3,5,7,1,12,0,Very little,Undergraduate degree
12,16,Right-Handed,67,2,Bus,14,,,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,105,3,Rail (Train/Tram/Subway),70,September,Summer,Science,6,9,7,7,4,4,1,9,35,1,15,0,2-Jan,2,0,Some,Graduate degree
9,15,Right-Handed,160,1,Rail (Train/Tram/Subway),45,April,Spring,English,8,6,3,20,10,12,12,5,12,0,0,20,20,12,0,Some,Graduate degree
12,20,Right-Handed,167.6,2,Car,19,October,Fall,Physical education,7,7,6,30,70,20,0.5,15,20,40,2,10,20,20,2,None,Some college
9,14,Left-Handed,181,2,Rail (Train/Tram/Subway),40,,,,,,,,,,,,,,,,,,,,
11,15,Right-Handed,175,1,Bus,100,November,Winter,Science,10,4,10,100,75,4,2,6,1,2,10,2,3,5,0,Some,Graduate degree
10,16,Right-Handed,171,1,Rail (Train/Tram/Subway),50,August,Summer,Science,8,12,3,0,2,2,1,10,5,2,5,1,2,16,1,A lot,Graduate degree
10,16,Right-Handed,180,3,Rail (Train/Tram/Subway),80,March,Winter,Mathematics and statistics,6,9,3,4,2,5,1,18,2,2,5,1,1,8,0,Some,Graduate degree
12,16,Right-Handed,171,1,Car,2,November,Summer,Physical education,7,10,8,5,1,,,,,,,,,,,,
12,17,Right-Handed,185,1,Car,14,July,Winter,Mathematics and statistics,9,11,4,40,300,4,1,20,3,5,0,30,8,15,20,A lot,Graduate degree
11,16,Right-Handed,175,2,Car,30,July,Summer,Other,4,9,4,22,54,0,,,,,,,,,,,
12,17,Right-Handed,196,1,Car,25,,,,,,,,,,,,,,,,,,,,
11,16,Right-Handed,167,2,Rail (Train/Tram/Subway),35,April,Fall,Other,6,7,5,400,400,23,0.2,5,1,6,0,14,7,45,0,Very little,Graduate degree
12,18,Right-Handed,160,1,Rail (Train/Tram/Subway),45,January,Fall,Mathematics and statistics,7,9,3,500,1000,8,7,2,10,1,1,1,24,1,2,A lot,High school
10,16,Right-Handed,188.9,1,Bus,30,January,Winter,History,8,6,3,12,16,5,10,20,15,3,20,5,6,20,1,A lot,Graduate degree
12,17,Right-Handed,176,2,Rail (Train/Tram/Subway),30,May,Spring,Computers and technology,3,6,5,200,199,2,1,1,1,0,0,20,30,10,10,None,Graduate degree
12,17,Right-Handed,177.8,1,Car,15,April,Summer,Physical education,9,10,2,30,50,10,0,2,2,2,6,8,2,16,1,None,Graduate degree
12,17,Right-Handed,174,1,Car,10,August,Fall,Music,8,9,3,29,34,3,0,1,0,0,1,12,1,42,4,Some,Graduate degree
9,14,Right-Handed,166,1,Bus,30,October,Summer,Mathematics and statistics,6,9,3,10,12,1,1,3,1,0,1,2,1,1,5,Some,Graduate degree
11,18,Left-Handed,165.1,1,Car,20,January,Fall,Physical education,8,9,4,85,115,15,4,10,15,20,4,8,2,18,4,None,Graduate degree
12,18,Ambidextrous,163,2,Rail (Train/Tram/Subway),50,September,Summer,Science,7,9,3,10,24,5,1,17.5,14,2,0,4,3,35,4,Some,Other
12,17,Right-Handed,159.4,1,Car,8,February,Fall,Languages,7,7,3,15,20,50,14,6,90,19,9,100,100,100,50,A lot,Graduate degree
10,16,Right-Handed,160,1,Bus,30,April,Fall,Art,5,7,4,50,500,154,20,5,10,100,0,63,50,50,50,Very little,Graduate degree
12,17,Right-Handed,187,8,Car,5,July,Summer,Science,1,3,5,1,2,8,9,8,2,3,4,4,1,3,2,A lot,Other
12,18,Right-Handed,167.6,2,Bus,18,March,Summer,History,7,9,3,162,201,0,9,4,10,0,0,30,60,75,3,A lot,Graduate degree
12,17,Right-Handed,177.8,1,Car,4,May,Fall,Physical education,7,8,4,5,5,6,2,4,5,10,3,8,2,3,1,Very little,Undergraduate degree
12,17,Right-Handed,164,1,Car,12,May,Fall,Science,7,10,4,200,230,5,0,7,3,12,1,10,5,16,7,Some,Graduate degree
9,15,Right-Handed,172,2,Rail (Train/Tram/Subway),25,June,Spring,Computers and technology,10,15,6,500,500,2,5,3,8,4,2,1,4,2,4,Very little,High school
12,16,Right-Handed,164,1,Car,5,,,,,,,,,,,,,,,,,,,,
12,16,Right-Handed,300,2,Car,5,November,Summer,Languages,,8,4,30,30,8,8,8,8,8,88,8,8,8,8,None,Some college
12,16,Ambidextrous,107,2,Other,65,February,Fall,Science,4,7,7,0,0,5,1,15,4,0,33,1,0,7,0,Very little,Graduate degree
12,17,Right-Handed,190,1,Walk,15,December,Summer,Computers and technology,4,12,4,100,100,0,25,7,7,7,30,20,20,20,0,A lot,Some college
12,17,Right-Handed,177.8,3,Rail (Train/Tram/Subway),75,,Spring,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,160,1,Car,12,August,Fall,Mathematics and statistics,7,10,4,50,150,10,5,25,5,15,0,6,5,10,3,A lot,Graduate degree
11,16,Right-Handed,160,1,Bus,45,September,Summer,Physical education,7,11,2,100,100,20,3,0,36,24,0,30,30,70,0,A lot,Graduate degree
12,16,Right-Handed,162.5,1,Rail (Train/Tram/Subway),50,July,Summer,History,5,5,4,200,500,24,15,9,10,9,0,7,7,30,5,A lot,Graduate degree
12,15,Right-Handed,155,1,Bus,7,November,Fall,Music,9,11,4,42,47,50,7,28,21,11,0,7,8,21,0,A lot,Graduate degree
12,16,Right-Handed,165,2,Rail (Train/Tram/Subway),25,June,Summer,History,6,11,5,7,12,2,1,1,1,3,5,2,3,4,1,Very little,Other
12,17,Right-Handed,161,2,Rail (Train/Tram/Subway),25,July,Fall,History,5,8,2,36,53,4,3,25,7,1,0,50,1,33,2,A lot,Graduate degree
10,15,Left-Handed,170,2,Rail (Train/Tram/Subway),40,,Spring,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,163,2,Car,6,,,,,,,,,,,,,,,,,,,,
10,16,Right-Handed,165,1,Rail (Train/Tram/Subway),75,December,Summer,English,7,8,5,105,97,5,7,15,7,1,0,8,5,10,3,Some,Undergraduate degree
10,15,Ambidextrous,175,1,Rail (Train/Tram/Subway),45,November,Summer,Mathematics and statistics,6,8,4,A lot,A lot,50,6,5,10,20,4,168,168,168,1,A lot,Graduate degree
10,16,Right-Handed,180,3,Rail (Train/Tram/Subway),45,November,Summer,Art,6,8,5,50,50,10,2,20,4,1,10,5,5,20,0,Some,Graduate degree
10,16,Right-Handed,165,2,Rail (Train/Tram/Subway),60,May,Summer,History,7,7,7,25,30,,,,,,,,,,,A lot,Graduate degree
10,16,Right-Handed,159,5,Rail (Train/Tram/Subway),60,April,Winter,History,6,11,5,3,11,6,1,18,7,2,4,7,0,35,0,A lot,Graduate degree
10,16,Right-Handed,180,2,Car,40,October,Spring,Computers and technology,8,10,6,30,25,5,1,60,20,2,2,1,3,53,10,A lot,Graduate degree
12,17,Right-Handed,154.9,1,Car,4,March,Summer,History,7,9,3,15,20,10,1,2,2,15,0,10,10,10,2,Some,Undergraduate degree
12,20,Right-Handed,66,1,Car,25,June,Summer,Mathematics and statistics,8,8,4,20,500,10,5,10,1,21,0,28,10,35,10,A lot,Graduate degree
12,17,Right-Handed,172,3,Walk,45,December,Fall,Science,8,6,4,20,20,3,0,30,20,5,0,7,10,10,0,A lot,Graduate degree
12,16,Left-Handed,162.5,2,Car,15,June,Fall,History,5,10,3,40,400,,,,,,,,,,,,
9,14,Right-Handed,175,2,Rail (Train/Tram/Subway),25,October,Summer,Social studies,8,6,5,4,4,4,1,1,0,3,14,13,8,0,2,A lot,Graduate degree
12,16,Right-Handed,170.2,1,Walk,15,March,Summer,History,7,12,4,40,45,35,6,22,9,10,1,14,5,27,10,A lot,Graduate degree
12,17,Right-Handed,175.3,1,Car,5,March,Fall,Languages,7,7,5,34,45,13,0.5,15,3,2,0,5,8,10,1,Some,Graduate degree
10,15,Right-Handed,172,1,Rail (Train/Tram/Subway),90,August,Winter,Science,6,8,2,30,30,4,0,3,2,2,3,1,1,5,0,Very little,Graduate degree
12,17,Right-Handed,159,1,Rail (Train/Tram/Subway),60,June,Summer,Art,6,10,4,15,15,2,1,20,2,2,0,8,1,6,4,A lot,Graduate degree
12,17,Right-Handed,163,2,Car,6,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,170,1,Rail (Train/Tram/Subway),45,May,Spring,Art,5.5,8,4,45,73,3,1,10,5,0,2,10,4,24,1,A lot,Graduate degree
12,17,Right-Handed,163,1,Car,12,April,Fall,Science,8,9,4,15,15,7,1,15,7,0,0,3,2,4,1,A lot,Graduate degree
11,16,Right-Handed,173,3,Car,10,June,Winter,Other,6,9,4,48,58,1,0.5,20,12,0,0,10,10,50,8,A lot,Some college
12,17,Left-Handed,172,1,Walk,20,July,Fall,Mathematics and statistics,8,9,4,20,20,4,0,3,3,6,8,3,2,3,2,Very little,Undergraduate degree
